filename;formulation;lb;ub;time
i-20-2-150-10-2-e-2.cssp;P;1;1;57.7
i-20-2-150-10-2-e-2.cssp;Pd;1;1;0.02
i-20-2-150-10-2-e-3.cssp;A;1;2;1800
i-20-2-150-10-2-e-3.cssp;Ad;2;2;305.06
i-20-2-150-10-2-e-3.cssp;P;2;2;349.6
i-20-2-150-10-2-e-3.cssp;Pd;2;2;0.02
i-20-2-150-10-2-e-4.cssp;A;1;2;1800
i-20-2-150-10-2-e-4.cssp;Ad;2;2;29.9
i-20-2-150-10-2-e-4.cssp;P;2;2;305.66
i-20-2-150-10-2-e-4.cssp;Pd;2;2;0.48
i-20-2-150-12-2-l-0.cssp;A;1;3;1800
i-20-2-150-12-2-l-0.cssp;Ad;2;2;912.28
i-20-2-150-12-2-l-0.cssp;P;2;2;397.32
i-20-2-150-12-2-l-0.cssp;Pd;2;2;0.02
i-20-2-150-12-2-l-1.cssp;A;1;3;1800
i-20-2-150-12-2-l-1.cssp;Ad;2;2;148.48
i-20-2-150-12-2-l-1.cssp;P;2;2;406.8
i-20-2-150-12-2-l-1.cssp;Pd;2;2;0.02
i-20-2-150-12-2-l-2.cssp;A;1;3;1800
i-20-2-150-12-2-l-2.cssp;Ad;2;2;5.76
i-20-2-150-12-2-l-2.cssp;P;2;2;326.34
i-20-2-150-12-2-l-2.cssp;Pd;2;2;0.02
i-20-2-150-12-2-l-3.cssp;A;1;3;1800
i-20-2-150-12-2-l-3.cssp;Ad;2;2;13.3
i-20-2-150-12-2-l-3.cssp;P;2;2;373.2
i-20-2-150-12-2-l-3.cssp;Pd;2;2;0.02
i-20-2-150-12-2-l-4.cssp;A;0;3;1800
i-20-2-150-12-2-l-4.cssp;Ad;2;2;14.16
i-20-2-150-12-2-l-4.cssp;P;2;2;327.98
i-20-2-150-12-2-l-4.cssp;Pd;2;2;0.26
i-20-2-50-15-4-e-0.cssp;A;4;4;307.08
i-20-2-50-15-4-e-0.cssp;Ad;4;4;50.94
i-20-2-50-15-4-e-0.cssp;P;4;4;13.34
i-20-2-50-15-4-e-0.cssp;Pd;4;4;0.02
i-20-2-50-15-4-e-1.cssp;A;3;4;1800
i-20-2-50-15-4-e-1.cssp;Ad;4;4;84.44
i-20-2-50-15-4-e-1.cssp;P;4;4;4.4
i-20-2-50-15-4-e-1.cssp;Pd;4;4;0.08
i-20-2-50-15-4-e-2.cssp;A;3;4;1800
i-20-2-50-15-4-e-2.cssp;Ad;4;4;193.04
i-20-2-50-15-4-e-2.cssp;P;4;4;5.3
i-20-2-50-15-4-e-2.cssp;Pd;4;4;0
i-20-2-50-15-4-e-3.cssp;A;2;4;1800
i-20-2-50-15-4-e-3.cssp;Ad;4;4;207.14
i-20-2-50-15-4-e-3.cssp;P;4;4;20.24
i-20-2-50-15-4-e-3.cssp;Pd;4;4;0.06
i-20-2-50-15-4-e-4.cssp;A;4;4;184.68
i-20-2-50-15-4-e-4.cssp;Ad;4;4;772.28
i-20-2-50-15-4-e-4.cssp;P;4;4;4.84
i-20-2-50-15-4-e-4.cssp;Pd;4;4;0.02
i-20-2-50-17-4-l-0.cssp;A;4;4;46.12
i-20-2-50-17-4-l-0.cssp;Ad;4;4;155.26
i-20-2-50-17-4-l-0.cssp;P;4;4;7.82
i-20-2-50-17-4-l-0.cssp;Pd;4;4;0.06
i-20-2-50-17-4-l-1.cssp;A;3;3;16.6
i-20-2-50-17-4-l-1.cssp;Ad;3;3;183.66
i-20-2-50-17-4-l-1.cssp;P;3;3;4.28
i-20-2-50-17-4-l-1.cssp;Pd;3;3;0.16
i-20-2-50-17-4-l-2.cssp;A;4;4;53.1
i-20-2-50-17-4-l-2.cssp;Ad;4;4;219.38
i-20-2-50-17-4-l-2.cssp;P;4;4;4.68
i-20-2-50-17-4-l-2.cssp;Pd;4;4;0
i-20-2-50-17-4-l-3.cssp;A;4;4;458.62
i-20-2-50-17-4-l-3.cssp;Ad;4;4;7.6
i-20-2-50-17-4-l-3.cssp;P;4;4;4.62
i-20-2-50-17-4-l-3.cssp;Pd;4;4;0.08
i-20-2-50-17-4-l-4.cssp;A;3;3;73.72
i-20-2-50-17-4-l-4.cssp;Ad;3;3;208.46
i-20-2-50-17-4-l-4.cssp;P;3;3;4.04
i-20-2-50-17-4-l-4.cssp;Pd;3;3;0.02
i-20-2-75-12-3-e-0.cssp;A;2;3;1800
i-20-2-75-12-3-e-0.cssp;Ad;3;3;6.58
i-20-2-75-12-3-e-0.cssp;P;3;3;29.24
i-20-2-75-12-3-e-0.cssp;Pd;3;3;0.02
i-20-2-75-12-3-e-1.cssp;A;2;3;1800
i-20-2-75-12-3-e-1.cssp;Ad;3;3;1416.12
i-20-2-75-12-3-e-1.cssp;P;3;3;19.72
i-20-2-75-12-3-e-1.cssp;Pd;3;3;0.08
i-20-2-75-12-3-e-2.cssp;A;2;3;1800
i-20-2-75-12-3-e-2.cssp;Ad;3;4;1800
i-20-2-75-12-3-e-2.cssp;P;3;3;36.4
i-20-2-75-12-3-e-2.cssp;Pd;3;3;0.04
i-20-2-75-12-3-e-3.cssp;A;2;3;1800
i-20-2-75-12-3-e-3.cssp;Ad;3;3;7.88
i-20-2-75-12-3-e-3.cssp;P;3;3;25.04
i-20-2-75-12-3-e-3.cssp;Pd;3;3;0.08
i-20-2-75-12-3-e-4.cssp;A;2;2;129.26
i-20-2-75-12-3-e-4.cssp;Ad;2;2;4.14
i-20-2-75-12-3-e-4.cssp;P;2;2;26.86
i-20-2-75-12-3-e-4.cssp;Pd;2;2;0.02
