filename;lb;ub;time
Hufsky-20-400-16.csp;39;39;0.02
Hufsky-20-400-17.csp;40;40;0
Hufsky-20-400-18.csp;39;39;0.02
Hufsky-20-400-19.csp;42;42;0.02
Hufsky-20-400-2.csp;34;34;0.02
Hufsky-20-400-20.csp;43;43;0.02
Hufsky-20-400-21.csp;41;41;0.02
Hufsky-20-400-22.csp;34;34;0
Hufsky-20-400-23.csp;30;30;0
Hufsky-20-400-24.csp;42;42;0.02
Hufsky-20-400-25.csp;38;38;0.04
Hufsky-20-400-26.csp;30;30;0
Hufsky-20-400-27.csp;42;42;0.02
Hufsky-20-400-28.csp;38;38;0.02
Hufsky-20-400-29.csp;42;42;0
Hufsky-20-400-3.csp;44;44;0.02
Hufsky-20-400-30.csp;42;42;0.02
Hufsky-20-400-31.csp;43;43;0.02
Hufsky-20-400-32.csp;44;44;0.02
Hufsky-20-400-33.csp;39;39;0.02
Hufsky-20-400-34.csp;38;38;0
Hufsky-20-400-35.csp;40;40;0.02
Hufsky-20-400-36.csp;40;40;0
Hufsky-20-400-37.csp;40;40;0.02
Hufsky-20-400-38.csp;36;36;0
Hufsky-20-400-39.csp;42;42;0.02
Hufsky-20-400-4.csp;39;39;0
Hufsky-20-400-40.csp;36;36;0
Hufsky-20-400-41.csp;43;43;0
Hufsky-20-400-42.csp;40;40;0
Hufsky-20-400-43.csp;37;37;0
Hufsky-20-400-44.csp;39;39;0.02
Hufsky-20-400-45.csp;41;41;0.02
Hufsky-20-400-46.csp;41;41;0
Hufsky-20-400-5.csp;37;37;0
Hufsky-20-400-6.csp;39;39;0.02
Hufsky-20-400-7.csp;39;39;0
Hufsky-20-400-8.csp;39;39;0.02
Hufsky-20-400-9.csp;39;39;0
Hufsky-20-450-0.csp;50;50;0.02
Hufsky-20-450-1.csp;42;42;0.02
Hufsky-20-450-10.csp;49;49;0.02
Hufsky-20-450-11.csp;45;45;0.02
Hufsky-20-450-12.csp;50;50;0.02
Hufsky-20-450-13.csp;48;48;0.02
Hufsky-20-450-14.csp;44;44;0
Hufsky-20-450-15.csp;39;39;0.02
Hufsky-20-450-16.csp;43;43;0.02
Hufsky-20-450-17.csp;41;41;0.02
Hufsky-20-450-18.csp;43;43;0.02
Hufsky-20-450-19.csp;49;49;0.02
Hufsky-20-450-2.csp;38;38;0.02
Hufsky-20-450-20.csp;49;49;0.02
Hufsky-20-450-21.csp;45;45;0.06
Hufsky-20-450-22.csp;41;41;0.02
Hufsky-20-450-23.csp;33;33;0.02
Hufsky-20-450-24.csp;47;47;0
Hufsky-20-450-25.csp;42;42;0.02
Hufsky-20-450-26.csp;38;38;0.02
Hufsky-20-450-27.csp;47;47;0.02
Hufsky-20-450-28.csp;42;42;0.02
Hufsky-20-450-29.csp;44;44;0
Hufsky-20-450-3.csp;47;47;0.02
Hufsky-20-450-30.csp;47;47;0.02
Hufsky-20-450-31.csp;49;49;0.02
Hufsky-20-450-32.csp;49;49;0.02
Hufsky-20-450-33.csp;44;44;0.02
Hufsky-20-450-34.csp;39;39;0
Hufsky-20-450-35.csp;44;44;0.02
Hufsky-20-450-36.csp;42;42;0.02
Hufsky-20-450-37.csp;43;43;0.02
Hufsky-20-450-38.csp;39;39;0.02
Hufsky-20-450-39.csp;48;48;0.02
Hufsky-20-450-4.csp;44;44;0
Hufsky-20-450-40.csp;40;40;0
Hufsky-20-450-41.csp;49;49;0.02
Hufsky-20-450-42.csp;52;52;0.02
Hufsky-20-450-43.csp;40;40;0.02
Hufsky-20-450-44.csp;48;48;0
Hufsky-20-450-45.csp;48;48;0
Hufsky-20-450-46.csp;51;51;0.02
Hufsky-20-450-5.csp;40;40;0
Hufsky-20-450-6.csp;45;45;0
Hufsky-20-450-7.csp;39;39;0.02
Hufsky-20-450-8.csp;45;45;0.02
Hufsky-20-450-9.csp;43;43;0.02
Hufsky-20-500-0.csp;53;53;0.02
Hufsky-20-500-1.csp;48;48;0.02
Hufsky-20-500-10.csp;54;54;0.02
Hufsky-20-500-11.csp;50;50;0.02
Hufsky-20-500-12.csp;55;55;0.02
Hufsky-20-500-13.csp;55;55;0.02
Hufsky-20-500-14.csp;48;48;0.02
Hufsky-20-500-15.csp;44;44;0.02
Hufsky-20-500-16.csp;54;54;0.02
Hufsky-20-500-17.csp;44;44;0.02
Hufsky-20-500-18.csp;54;54;0.02
Hufsky-20-500-19.csp;54;54;0.02
Hufsky-20-500-2.csp;43;43;0.02
Hufsky-20-500-20.csp;55;55;0.02
Hufsky-20-500-21.csp;51;51;0.02
Hufsky-20-500-22.csp;44;44;0.06
Hufsky-20-500-23.csp;42;42;0.02
Hufsky-20-500-24.csp;53;53;0.02
Hufsky-20-500-25.csp;47;47;0.02
Hufsky-20-500-26.csp;42;42;0.02
Hufsky-20-500-27.csp;53;53;0.02
Hufsky-20-500-28.csp;47;47;0.02
Hufsky-20-500-29.csp;51;51;0.02
Hufsky-20-500-3.csp;54;54;0.02
Hufsky-20-500-30.csp;52;52;0.02
Hufsky-20-500-31.csp;54;54;0.02
Hufsky-20-500-32.csp;51;51;0.02
Hufsky-20-500-33.csp;49;49;0.02
Hufsky-20-500-34.csp;44;44;0.02
Hufsky-20-500-35.csp;53;53;0.02
Hufsky-20-500-36.csp;47;47;0.02
Hufsky-20-500-37.csp;53;53;0.02
Hufsky-20-500-38.csp;42;42;0.02
Hufsky-20-500-39.csp;53;53;0
Hufsky-20-500-4.csp;47;47;0.02
Hufsky-20-500-40.csp;44;44;0.02
Hufsky-20-500-41.csp;55;55;0.02
Hufsky-20-500-42.csp;48;48;0.02
Hufsky-20-500-43.csp;50;50;0.02
Hufsky-20-500-44.csp;53;53;0.02
Hufsky-20-500-45.csp;51;51;0.02
Hufsky-20-500-46.csp;45;45;0.02
Hufsky-20-500-5.csp;46;46;0.02
Hufsky-20-500-6.csp;53;53;0.02
Hufsky-20-500-7.csp;44;44;0.02
Hufsky-20-500-8.csp;53;53;0.02
Hufsky-20-500-9.csp;47;47;0.02
Hufsky-30-250-0.csp;27;27;0
Hufsky-30-250-1.csp;27;27;0
Hufsky-30-250-10.csp;29;29;0
Hufsky-30-250-11.csp;26;26;0
Hufsky-30-250-12.csp;30;30;0.02
Hufsky-30-250-13.csp;30;30;0
Hufsky-30-250-14.csp;25;25;0
Hufsky-30-250-15.csp;22;22;0
Hufsky-30-250-16.csp;25;25;0.02
Hufsky-30-250-17.csp;23;23;0
Hufsky-30-250-18.csp;25;25;0.02
Hufsky-30-250-19.csp;29;29;0.02
Hufsky-30-250-2.csp;21;21;0
Hufsky-30-250-20.csp;29;29;0.02
Hufsky-30-250-21.csp;26;26;0
Hufsky-30-250-22.csp;24;24;0.02
Hufsky-30-250-23.csp;21;21;0
Hufsky-30-250-24.csp;28;28;0
Hufsky-30-250-25.csp;24;24;0
Hufsky-30-250-26.csp;21;21;0
Hufsky-30-250-27.csp;28;28;0
Hufsky-30-250-28.csp;24;24;0
Hufsky-30-250-29.csp;27;27;0
Hufsky-30-250-3.csp;30;30;0
Hufsky-30-250-30.csp;26;26;0
Hufsky-30-250-31.csp;29;29;0.02
Hufsky-30-250-32.csp;30;30;0
Hufsky-30-250-33.csp;25;25;0
Hufsky-30-250-34.csp;22;22;0
Hufsky-30-250-35.csp;26;26;0
Hufsky-30-250-36.csp;23;23;0
Hufsky-30-250-37.csp;25;25;0
Hufsky-30-250-38.csp;24;24;0
Hufsky-30-250-39.csp;29;29;0
Hufsky-30-250-4.csp;26;26;0
Hufsky-30-250-40.csp;24;24;0
Hufsky-30-250-41.csp;28;28;0.02
Hufsky-30-250-42.csp;29;29;0
Hufsky-30-250-43.csp;26;26;0
Hufsky-30-250-44.csp;28;28;0
